Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-09-09,ADANIENT,EQ,137.75,137.8,141.75,136.35,140.05,140.9,139.76,4349296,60785520995000.01,18303,710587,0.1634
2019-09-11,ADANIENT,EQ,140.9,140.05,144.9,140.05,143.5,143.95,142.96,4245005,60687004670000.01,18344,1023488,0.2411
2019-09-12,ADANIENT,EQ,143.95,144.85,146.3,142.05,142.45,143.05,143.75,3500479,50319492145000.0,18234,455615,0.1302
2019-09-13,ADANIENT,EQ,143.05,143.0,146.9,140.55,145.3,145.75,143.92,3561056,51248958630000.0,18665,423283,0.1189
2019-09-16,ADANIENT,EQ,145.75,144.0,147.2,143.15,145.45,145.95,145.57,3713796,54062571075000.0,21969,347517,0.0936
2019-09-17,ADANIENT,EQ,145.95,145.5,147.9,142.4,143.45,143.75,145.18,4167662,60506042300000.0,20490,919202,0.2206
2019-09-18,ADANIENT,EQ,143.75,144.0,146.0,142.1,145.0,144.15,144.15,3465608,49955040685000.0,18688,381321,0.11
2019-09-19,ADANIENT,EQ,144.15,143.95,144.9,140.5,142.0,142.55,142.45,2662885,37933659890000.0,11865,284046,0.1067
2019-09-20,ADANIENT,EQ,142.55,143.0,152.1,141.3,148.0,149.1,148.12,7545363,111758770255000.0,33241,1715763,0.2274
2019-09-23,ADANIENT,EQ,149.1,154.0,154.0,147.55,149.5,152.4,150.91,4136992,62431995829999.99,19040,784348,0.18960000000000002
2019-09-24,ADANIENT,EQ,152.4,151.25,153.0,145.4,147.2,148.05,148.99,4576924,68193417890000.0,24217,598344,0.1307
2019-09-25,ADANIENT,EQ,148.05,149.7,151.0,145.5,147.1,147.55,148.45,4572108,67870997879999.99,27829,443957,0.0971
2019-09-26,ADANIENT,EQ,147.55,148.45,155.4,146.65,151.9,152.7,152.2,7013490,106747208410000.0,34442,1330315,0.18969999999999998
2019-09-27,ADANIENT,EQ,152.7,152.7,152.7,147.2,148.9,149.45,149.61,4016921,60097383040000.0,20727,701451,0.1746
2019-09-30,ADANIENT,EQ,149.45,149.1,149.75,143.75,145.5,145.85,145.91,3528313,51481129000000.0,17924,397673,0.1127
2019-10-01,ADANIENT,EQ,145.85,146.1,147.7,140.5,143.45,143.65,144.37,3732047,53881071285000.0,16300,430594,0.11539999999999999
2019-10-03,ADANIENT,EQ,143.65,143.0,145.0,141.4,142.85,143.55,143.2,2070232,29645435275000.0,11122,168395,0.08130000000000001
2019-10-04,ADANIENT,EQ,143.55,143.95,144.5,137.55,137.9,140.0,142.0,2382805,33834853635000.004,11951,437979,0.1838
2019-10-07,ADANIENT,EQ,140.0,138.45,140.0,135.25,135.5,135.8,137.22,2701943,37074886945000.0,12557,378976,0.1403
2019-10-09,ADANIENT,EQ,135.8,134.95,139.65,134.1,138.4,139.0,136.82,2682715,36706157930000.0,15509,294052,0.10960000000000002
2019-10-10,ADANIENT,EQ,139.0,138.0,139.1,135.3,136.75,137.4,137.04,2413888,33081034850000.0,13319,215325,0.0892
2019-10-11,ADANIENT,EQ,137.4,137.45,138.8,134.6,136.4,136.95,136.6,2780875,37987992770000.0,12898,353243,0.127
2019-10-14,ADANIENT,EQ,136.95,137.9,152.4,137.0,146.95,147.1,146.09,10795909,157714471185000.0,55796,1319302,0.1222
